drug_a,drug_b,cell_line,drug_a_molecular_weight,drug_b_molecular_weight,drug_a_logp,drug_b_logp,dose_a_um,dose_b_um,cell_line_growth_rate,synergy_score
DrugC,DrugE,HCT116,280,390,0.8,1.7,0.0102,9.5522,0.91,0.543
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.0244,0.0286,0.64,11.823
DrugB,DrugE,PC3,420,390,2.1,1.7,0.0907,1.5085,0.73,12.665
DrugB,DrugD,HCT116,420,510,2.1,3.0,0.262,7.0824,0.91,2.75
DrugA,DrugC,HCT116,350,280,1.2,0.8,3.4516,0.0132,0.91,-0.311
DrugB,DrugE,HCT116,420,390,2.1,1.7,9.4498,0.3929,0.91,10.864
DrugA,DrugB,PC3,350,420,1.2,2.1,0.1256,1.6426,0.73,12.812
DrugC,DrugD,HCT116,280,510,0.8,3.0,0.3364,5.2633,0.91,10.277
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.1677,0.209,0.64,11.933
DrugA,DrugD,HCT116,350,510,1.2,3.0,0.9259,0.9744,0.91,13.994
DrugB,DrugD,A549,420,510,2.1,3.0,2.16,3.8185,0.82,5.398
DrugD,DrugE,A549,510,390,3.0,1.7,0.0669,0.0261,0.82,7.372
DrugB,DrugD,PC3,420,510,2.1,3.0,0.0405,0.4229,0.73,1.811
DrugD,DrugE,HCT116,510,390,3.0,1.7,0.0583,0.7524,0.91,7.057
DrugC,DrugE,MCF7,280,390,0.8,1.7,1.1384,0.0117,0.64,0.752
DrugC,DrugE,HCT116,280,390,0.8,1.7,0.2147,6.4241,0.91,4.934
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.2948,0.7881,0.91,12.352
DrugB,DrugD,PC3,420,510,2.1,3.0,5.9105,3.3882,0.73,7.183
DrugA,DrugD,PC3,350,510,1.2,3.0,1.9399,0.2766,0.73,8.812
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.0738,0.0594,0.91,7.549
DrugB,DrugC,A549,420,280,2.1,0.8,2.8065,3.8169,0.82,5.386
DrugA,DrugB,MCF7,350,420,1.2,2.1,2.4691,3.2925,0.64,14.394
DrugC,DrugD,A549,280,510,0.8,3.0,0.148,9.9044,0.82,5.96
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.7228,6.2907,0.64,12.394
DrugA,DrugC,A549,350,280,1.2,0.8,2.3562,0.0648,0.82,3.224
DrugA,DrugD,A549,350,510,1.2,3.0,3.1448,0.0338,0.82,8.668
DrugC,DrugE,HCT116,280,390,0.8,1.7,1.1442,0.9079,0.91,5.685
DrugA,DrugE,HCT116,350,390,1.2,1.7,0.0193,1.5259,0.91,4.575
DrugB,DrugE,MCF7,420,390,2.1,1.7,0.1881,0.0143,0.64,11.541
DrugB,DrugD,PC3,420,510,2.1,3.0,3.1359,2.9087,0.73,8.9
DrugB,DrugE,HCT116,420,390,2.1,1.7,2.5361,0.2977,0.91,12.129
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0194,0.0289,0.73,15.392
DrugA,DrugB,A549,350,420,1.2,2.1,0.01,0.2037,0.82,12.688
DrugA,DrugE,HCT116,350,390,1.2,1.7,2.947,0.0319,0.91,2.613
DrugA,DrugE,PC3,350,390,1.2,1.7,0.4138,2.8681,0.73,6.401
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0592,1.8071,0.91,11.247
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.127,0.0455,0.64,8.374
DrugC,DrugD,A549,280,510,0.8,3.0,0.0181,0.0338,0.82,11.966
DrugA,DrugE,MCF7,350,390,1.2,1.7,9.3576,0.0258,0.64,-0.401
DrugA,DrugC,MCF7,350,280,1.2,0.8,4.2194,8.4486,0.64,1.001
DrugA,DrugB,A549,350,420,1.2,2.1,0.9294,0.0737,0.82,11.198
DrugA,DrugC,HCT116,350,280,1.2,0.8,3.0594,1.3539,0.91,5.304
DrugA,DrugC,HCT116,350,280,1.2,0.8,0.2875,0.0603,0.91,3.777
DrugB,DrugD,PC3,420,510,2.1,3.0,0.4827,0.1433,0.73,6.504
DrugA,DrugC,MCF7,350,280,1.2,0.8,0.4924,1.0714,0.64,5.554
DrugA,DrugB,A549,350,420,1.2,2.1,4.8254,0.8687,0.82,15.09
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.2681,6.4066,0.64,4.729
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0386,1.0929,0.91,13.673
DrugA,DrugD,A549,350,510,1.2,3.0,0.1854,0.0338,0.82,11.388
DrugC,DrugE,MCF7,280,390,0.8,1.7,0.1209,0.0146,0.64,7.106
DrugB,DrugE,HCT116,420,390,2.1,1.7,0.0413,4.6248,0.91,9.181
DrugA,DrugC,A549,350,280,1.2,0.8,0.0222,0.7223,0.82,1.362
DrugA,DrugE,PC3,350,390,1.2,1.7,2.8802,0.3786,0.73,5.421
DrugA,DrugB,MCF7,350,420,1.2,2.1,0.0937,7.0135,0.64,11.851
DrugD,DrugE,A549,510,390,3.0,1.7,8.6278,0.3133,0.82,4.51
DrugB,DrugD,HCT116,420,510,2.1,3.0,0.0242,0.0919,0.91,7.678
DrugA,DrugD,PC3,350,510,1.2,3.0,0.5861,0.1191,0.73,10.389
DrugB,DrugC,HCT116,420,280,2.1,0.8,6.0299,6.2855,0.91,6.777
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.5056,0.2429,0.64,6.376
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.1089,0.1367,0.64,8.132
DrugA,DrugB,HCT116,350,420,1.2,2.1,0.147,0.044,0.91,14.392
DrugD,DrugE,MCF7,510,390,3.0,1.7,3.0225,6.0606,0.64,6.731
DrugA,DrugD,A549,350,510,1.2,3.0,6.8637,0.1505,0.82,10.262
DrugC,DrugD,A549,280,510,0.8,3.0,0.0131,1.0997,0.82,7.678
DrugA,DrugE,HCT116,350,390,1.2,1.7,3.6011,0.3085,0.91,5.969
DrugA,DrugB,PC3,350,420,1.2,2.1,0.0982,4.328,0.73,14.927
DrugC,DrugD,MCF7,280,510,0.8,3.0,0.0303,2.1121,0.64,3.2
DrugA,DrugC,PC3,350,280,1.2,0.8,7.7757,3.6892,0.73,3.346
DrugC,DrugD,PC3,280,510,0.8,3.0,0.1329,0.0201,0.73,9.811
DrugC,DrugE,HCT116,280,390,0.8,1.7,8.8396,0.6632,0.91,6.47
DrugB,DrugD,MCF7,420,510,2.1,3.0,0.0227,2.4224,0.64,1.491
DrugA,DrugB,MCF7,350,420,1.2,2.1,4.1976,0.0118,0.64,10.222
DrugC,DrugE,HCT116,280,390,0.8,1.7,0.0309,1.0116,0.91,3.807
DrugD,DrugE,A549,510,390,3.0,1.7,0.2428,0.3688,0.82,4.514
DrugA,DrugB,A549,350,420,1.2,2.1,0.1078,0.0195,0.82,15.49
DrugA,DrugC,PC3,350,280,1.2,0.8,8.3801,0.0175,0.73,1.356
DrugD,DrugE,HCT116,510,390,3.0,1.7,0.1937,0.1964,0.91,8.356
DrugA,DrugC,PC3,350,280,1.2,0.8,7.5184,0.0132,0.73,-0.88
DrugB,DrugC,PC3,420,280,2.1,0.8,0.0137,6.4213,0.73,-1.11
DrugA,DrugD,A549,350,510,1.2,3.0,3.1924,0.0293,0.82,8.381
DrugA,DrugE,HCT116,350,390,1.2,1.7,0.1555,0.2163,0.91,7.998
DrugA,DrugE,MCF7,350,390,1.2,1.7,0.037,0.0721,0.64,3.29
DrugA,DrugE,PC3,350,390,1.2,1.7,1.329,3.0907,0.73,6.521
DrugC,DrugE,PC3,280,390,0.8,1.7,0.024,2.4399,0.73,2.79
DrugB,DrugC,PC3,420,280,2.1,0.8,8.2302,1.3017,0.73,0.268
DrugB,DrugC,MCF7,420,280,2.1,0.8,0.1216,0.1495,0.64,7.414
DrugA,DrugC,PC3,350,280,1.2,0.8,0.2179,6.1952,0.73,5.038
DrugA,DrugE,A549,350,390,1.2,1.7,0.0414,8.4568,0.82,2.744
DrugB,DrugC,PC3,420,280,2.1,0.8,8.5424,0.0512,0.73,1.239
DrugA,DrugB,A549,350,420,1.2,2.1,0.0385,0.5078,0.82,13.803
DrugB,DrugC,HCT116,420,280,2.1,0.8,0.0403,2.522,0.91,6.822
DrugC,DrugE,PC3,280,390,0.8,1.7,0.1106,0.0187,0.73,7.77
DrugB,DrugC,PC3,420,280,2.1,0.8,0.1364,2.0527,0.73,3.501
DrugA,DrugB,MCF7,350,420,1.2,2.1,0.9111,1.0437,0.64,15.879
DrugB,DrugD,HCT116,420,510,2.1,3.0,0.0321,6.4567,0.91,1.91
DrugA,DrugD,MCF7,350,510,1.2,3.0,0.362,0.3346,0.64,11.392
DrugB,DrugE,MCF7,420,390,2.1,1.7,0.2715,0.1842,0.64,13.204
DrugC,DrugE,A549,280,390,0.8,1.7,0.8181,0.0142,0.82,6.388
DrugA,DrugC,PC3,350,280,1.2,0.8,0.2671,0.0152,0.73,4.005
DrugC,DrugD,PC3,280,510,0.8,3.0,0.1925,0.82,0.73,12.721
DrugD,DrugE,MCF7,510,390,3.0,1.7,0.9718,1.0365,0.64,5.217
DrugB,DrugC,MCF7,420,280,2.1,0.8,2.7313,0.3291,0.64,1.952
DrugB,DrugC,A549,420,280,2.1,0.8,1.7203,0.0247,0.82,4.622
